weekday,時  間,用電量(單位:度),
4,2016/9/1,10634,1063400
5,2016/9/2,10388,1038800
6,2016/9/3,9028,902800
7,2016/9/4,9187.5,918750
1,2016/9/5,11078,1107800
2,2016/9/6,10518,1051800
3,2016/9/7,10813.5,1081350
4,2016/9/8,10886.5,1088650
5,2016/9/9,10357.5,1035750
6,2016/9/10,9760.5,976050
7,2016/9/11,9414.5,941450
1,2016/9/12,10602,1060200
2,2016/9/13,11092,1109200
3,2016/9/14,10633.5,1063350
4,2016/9/15,8962.5,896250
5,2016/9/16,9004.5,900450
6,2016/9/17,8635.5,863550
7,2016/9/18,9451,945100
1,2016/9/19,11292.5,1129250
2,2016/9/20,11856,1185600
3,2016/9/21,11911.5,1191150
4,2016/9/22,12451.5,1245150
5,2016/9/23,11829.5,1182950
6,2016/9/24,10310,1031000
7,2016/9/25,7618.5,761850
1,2016/9/26,9373,937300
2,2016/9/27,8831,883100
3,2016/9/28,9750.5,975050
4,2016/9/29,11920,1192000
5,2016/9/30,11056,1105600
6,2016/10/1,9884,988400
7,2016/10/2,9616.5,961650
1,2016/10/3,11243,1124300
2,2016/10/4,11827.5,1182750
3,2016/10/5,11954,1195400
4,2016/10/6,11799,1179900
5,2016/10/7,11170,1117000
6,2016/10/8,9744,974400
7,2016/10/9,9310.5,931050
1,2016/10/10,9587.5,958750
2,2016/10/11,10555,1055500
3,2016/10/12,10689.5,1068950
4,2016/10/13,10890.5,1089050
5,2016/10/14,10825.5,1082550
6,2016/10/15,9689.5,968950
7,2016/10/16,9730,973000
1,2016/10/17,11695,1169500
2,2016/10/18,12177.5,1217750
3,2016/10/19,11738.5,1173850
4,2016/10/20,12008,1200800
5,2016/10/21,11490,1149000
6,2016/10/22,10310.5,1031050
7,2016/10/23,10182.5,1018250
1,2016/10/24,11794,1179400
2,2016/10/25,12154,1215400
3,2016/10/26,11797,1179700
4,2016/10/27,11740,1174000
5,2016/10/28,11574,1157400
6,2016/10/29,10410,1041000
7,2016/10/30,9966,996600
1,2016/10/31,11694,1169400
2,2016/11/1,11759.5,1175950
3,2016/11/2,11213.5,1121350
4,2016/11/3,11126,1112600
5,2016/11/4,11166,1116600
6,2016/11/5,10168,1016800
7,2016/11/6,9882,988200
1,2016/11/7,10991,1099100
2,2016/11/8,11109,1110900
3,2016/11/9,10814,1081400
4,2016/11/10,10762,1076200
5,2016/11/11,10481,1048100
6,2016/11/12,9687,968700
7,2016/11/13,9591,959100
1,2016/11/14,10668,1066800
2,2016/11/15,11303,1130300
3,2016/11/16,11563.5,1156350
4,2016/11/17,11556,1155600
5,2016/11/18,11242.5,1124250
6,2016/11/19,10391,1039100
7,2016/11/20,10084,1008400
1,2016/11/21,11410.5,1141050
2,2016/11/22,11468.5,1146850
3,2016/11/23,11049,1104900
4,2016/11/24,10886,1088600
5,2016/11/25,10808,1080800
6,2016/11/26,10132,1013200
7,2016/11/27,8001,800100
1,2016/11/28,9253,925300
2,2016/11/29,10275,1027500
3,2016/11/30,10595.5,1059550
4,2016/12/1,10217.5,1021750
5,2016/12/2,9975,997500
6,2016/12/3,9442,944200
7,2016/12/4,9296,929600
1,2016/12/5,10269,1026900
2,2016/12/6,10106,1010600
3,2016/12/7,9990,999000
4,2016/12/8,10106,1010600
5,2016/12/9,9811,981100
6,2016/12/10,9192,919200
7,2016/12/11,9028.5,902850
1,2016/12/12,10276,1027600
2,2016/12/13,10443.5,1044350
3,2016/12/14,10052,1005200
4,2016/12/15,8541,854100
5,2016/12/16,8145,814500
6,2016/12/17,7095,709500
7,2016/12/18,6793.5,679350
1,2016/12/19,7898.5,789850
2,2016/12/20,8626,862600
3,2016/12/21,8331,833100
4,2016/12/22,8098,809800
5,2016/12/23,7632,763200
6,2016/12/24,6686,668600
7,2016/12/25,6863,686300
1,2016/12/26,7845,784500
2,2016/12/27,7984,798400
3,2016/12/28,7982.5,798250
4,2016/12/29,7964.5,796450
5,2016/12/30,7433,743300
6,2016/12/31,6618.5,661850
7,2017/1/1,6326.5,632650
1,2017/1/2,6663,666300
2,2017/1/3,7355,735500
3,2017/1/4,8593.5,859350
4,2017/1/5,10430.5,1043050
5,2017/1/6,10001,1000100
6,2017/1/7,9477,947700
7,2017/1/8,9649,964900
1,2017/1/9,9758,975800
2,2017/1/10,9343.5,934350
3,2017/1/11,10118.5,1011850
4,2017/1/12,10468,1046800
5,2017/1/13,8775.5,877550
6,2017/1/14,7373.5,737350
7,2017/1/15,7101,710100
1,2017/1/16,7527,752700
2,2017/1/17,7152,715200
3,2017/1/18,7245,724500
4,2017/1/19,7574,757400
5,2017/1/20,7720,772000
6,2017/1/21,6992,699200
7,2017/1/22,6780.5,678050
1,2017/1/23,7619.5,761950
2,2017/1/24,7080,708000
3,2017/1/25,5703.5,570350
4,2017/1/26,3762.5,376250
5,2017/1/27,3446,344600
6,2017/1/28,3481.5,348150
7,2017/1/29,3740.5,374050
1,2017/1/30,3594,359400
2,2017/1/31,3893,389300
3,2017/2/1,5246,524600
4,2017/2/2,5841,584100
5,2017/2/3,6115.5,611550
6,2017/2/4,5772.5,577250
7,2017/2/5,5982,598200
1,2017/2/6,6749.5,674950
2,2017/2/7,6908,690800
3,2017/2/8,7066.5,706650
4,2017/2/9,7566,756600
5,2017/2/10,7509,750900
6,2017/2/11,6857.5,685750
7,2017/2/12,6819.5,681950
1,2017/2/13,7178,717800
2,2017/2/14,7227.5,722750
3,2017/2/15,7285.5,728550
4,2017/2/16,7432,743200
5,2017/2/17,7463,746300
6,2017/2/18,7001,700100
7,2017/2/19,6865.5,686550
1,2017/2/20,7753.5,775350
2,2017/2/21,7815.5,781550
3,2017/2/22,7702.5,770250
4,2017/2/23,7775,777500
5,2017/2/24,7568.5,756850
6,2017/2/25,6793,679300
7,2017/2/26,6548,654800
1,2017/2/27,6383.5,638350
2,2017/2/28,6622.5,662250
3,2017/3/1,7163.5,716350
4,2017/3/2,7446,744600
5,2017/3/3,7333,733300
6,2017/3/4,6688,668800
7,2017/3/5,6700,670000
1,2017/3/6,7560,756000
2,2017/3/7,7887.5,788750
3,2017/3/8,7681,768100
4,2017/3/9,7567.5,756750
5,2017/3/10,7362.5,736250
6,2017/3/11,6646.5,664650
7,2017/3/12,6556,655600
1,2017/3/13,7422,742200
2,2017/3/14,7852,785200
3,2017/3/15,7401,740100
4,2017/3/16,7659,765900
5,2017/3/17,7385.5,738550
6,2017/3/18,6614.5,661450
7,2017/3/19,6635,663500
1,2017/3/20,8724,872400
2,2017/3/21,10443.5,1044350
3,2017/3/22,9793,979300
4,2017/3/23,10247.5,1024750
5,2017/3/24,10210,1021000
6,2017/3/25,8806,880600
7,2017/3/26,8730,873000
1,2017/3/27,9987.5,998750
2,2017/3/28,9839,983900
3,2017/3/29,9436,943600
4,2017/3/30,10066,1006600
5,2017/3/31,10074.5,1007450
6,2017/4/1,7527.5,752750
7,2017/4/2,7468.5,746850
1,2017/4/3,7331,733100
2,2017/4/4,6871,687100
3,2017/4/5,7528,752800
4,2017/4/6,8127,812700
5,2017/4/7,8882,888200
6,2017/4/8,9722,972200
7,2017/4/9,9579,957900
1,2017/4/10,11118,1111800
2,2017/4/11,10855.5,1085550
3,2017/4/12,10397.5,1039750
4,2017/4/13,10729,1072900
5,2017/4/14,10734.5,1073450
6,2017/4/15,10102.5,1010250
7,2017/4/16,10036.5,1003650
1,2017/4/17,11113,1111300
2,2017/4/18,11388.5,1138850
3,2017/4/19,11298,1129800
4,2017/4/20,11438.5,1143850
5,2017/4/21,11367.5,1136750
6,2017/4/22,9392,939200
7,2017/4/23,9597.5,959750
1,2017/4/24,10487.5,1048750
2,2017/4/25,10739.5,1073950
3,2017/4/26,10764.5,1076450
4,2017/4/27,10725,1072500
5,2017/4/28,10600,1060000
6,2017/4/29,9951,995100
7,2017/4/30,9888,988800
1,2017/5/1,11022.5,1102250
2,2017/5/2,11297.5,1129750
3,2017/5/3,11486,1148600
4,2017/5/4,12015,1201500
5,2017/5/5,11879,1187900
6,2017/5/6,10518,1051800
7,2017/5/7,10212.5,1021250
1,2017/5/8,11499,1149900
2,2017/5/9,11592.5,1159250
3,2017/5/10,11974,1197400
4,2017/5/11,12138,1213800
5,2017/5/12,11403,1140300
6,2017/5/13,9965,996500
7,2017/5/14,9803,980300
1,2017/5/15,11523,1152300
2,2017/5/16,11499,1149900
3,2017/5/17,11385.5,1138550
4,2017/5/18,11730.5,1173050
5,2017/5/19,11393,1139300
6,2017/5/20,10079.5,1007950
7,2017/5/21,10072.5,1007250
1,2017/5/22,11230.5,1123050
2,2017/5/23,11974.5,1197450
3,2017/5/24,12078.5,1207850
4,2017/5/25,11654,1165400
5,2017/5/26,10899.5,1089950
6,2017/5/27,10028,1002800
7,2017/5/28,9769,976900
1,2017/5/29,9879,987900
2,2017/5/30,10200,1020000
3,2017/5/31,11587,1158700
4,2017/6/1,12519,1251900
5,2017/6/2,11786,1178600
6,2017/6/3,10552.5,1055250
7,2017/6/4,10074.5,1007450
1,2017/6/5,11098.5,1109850
2,2017/6/6,11738.5,1173850
3,2017/6/7,11814,1181400
4,2017/6/8,12295,1229500
5,2017/6/9,11281,1128100
6,2017/6/10,10158,1015800
7,2017/6/11,10299,1029900
1,2017/6/12,11609,1160900
2,2017/6/13,12112,1211200
3,2017/6/14,11325,1132500
4,2017/6/15,10870,1087000
5,2017/6/16,10497,1049700
6,2017/6/17,9495,949500
7,2017/6/18,9366,936600
1,2017/6/19,10444,1044400
2,2017/6/20,11439,1143900
3,2017/6/21,11734,1173400
4,2017/6/22,11683,1168300
5,2017/6/23,11226,1122600
6,2017/6/24,10011,1001100
7,2017/6/25,9879,987900
1,2017/6/26,11259,1125900
2,2017/6/27,11186,1118600
3,2017/6/28,11095,1109500
4,2017/6/29,11435,1143500
5,2017/6/30,11425,1142500
6,2017/7/1,10658,1065800
7,2017/7/2,10405,1040500
1,2017/7/3,11684,1168400
2,2017/7/4,11889,1188900
3,2017/7/5,11541,1154100
4,2017/7/6,11557,1155700
5,2017/7/7,10735,1073500
6,2017/7/8,8330,833000
7,2017/7/9,3507,350700
1,2017/7/10,8028,802800
2,2017/7/11,10160,1016000
3,2017/7/12,7698,769800
4,2017/7/13,9773,977300
5,2017/7/14,9747,974700
6,2017/7/15,7536,753600
7,2017/7/16,4365,436500
1,2017/7/17,8798,879800
2,2017/7/18,10865,1086500
3,2017/7/19,11007,1100700
4,2017/7/20,10869,1086900
5,2017/7/21,10983,1098300
6,2017/7/22,9698,969800
7,2017/7/23,9592,959200
1,2017/7/24,11259,1125900
2,2017/7/25,11785,1178500
3,2017/7/26,11712,1171200
4,2017/7/27,11619,1161900
5,2017/7/28,11597,1159700
6,2017/7/29,9517,951700
7,2017/7/30,9320,932000
1,2017/7/31,10617,1061700
2,2017/8/1,11192,1119200
3,2017/8/2,10896,1089600
4,2017/8/3,10779,1077900
5,2017/8/4,10689,1068900
6,2017/8/5,9405,940500
7,2017/8/6,9078,907800
1,2017/8/7,10525,1052500
2,2017/8/8,10753,1075300
3,2017/8/9,11020,1102000
4,2017/8/10,11148,1114800
5,2017/8/11,10937,1093700
6,2017/8/12,9689,968900
7,2017/8/13,9413,941300
1,2017/8/14,10744,1074400
2,2017/8/15,10883,1088300
3,2017/8/16,10598,1059800
4,2017/8/17,10707,1070700
5,2017/8/18,10723,1072300
6,2017/8/19,9313,931300
7,2017/8/20,9158,915800
1,2017/8/21,10832,1083200
2,2017/8/22,10977,1097700
3,2017/8/23,10308,1030800
4,2017/8/24,10353,1035300
5,2017/8/25,10588,1058800
6,2017/8/26,9123,912300
7,2017/8/27,9095,909500
1,2017/8/28,10799,1079900
2,2017/8/29,10765,1076500
3,2017/8/30,10921,1092100
4,2017/8/31,10856,1085600
,,,