Date,Area,bd_name,Loop,Type,Usage
2016/09,South,ServiceBD,主迴路                 ,Admin,2130544
2016/10,South,ServiceBD,主迴路                 ,Admin,44666.75
2016/11,South,ServiceBD,主迴路                 ,Admin,36711
2016/12,South,ServiceBD,主迴路                 ,Admin,37236
2017/01,South,ServiceBD,主迴路                 ,Admin,2311804
2017/02,South,ServiceBD,主迴路                 ,Admin,30873.5
2017/03,South,ServiceBD,主迴路                 ,Admin,33838
2017/04,South,ServiceBD,主迴路                 ,Admin,31388.5
2017/05,South,ServiceBD,主迴路                 ,Admin,32463.75
2017/06,South,ServiceBD,主迴路                 ,Admin,37146.5
2017/07,South,ServiceBD,主迴路                 ,Admin,43385
2017/08,South,ServiceBD,主迴路                 ,Admin,36385
2016/09,South,Emergency_Center,主迴路                 ,Admin,1663311
2016/10,South,Emergency_Center,主迴路                 ,Admin,7592
2016/11,South,Emergency_Center,主迴路                 ,Admin,5855.31
2016/12,South,Emergency_Center,主迴路                 ,Admin,5317.69
2017/01,South,Emergency_Center,主迴路                 ,Admin,856642.6
2017/02,South,Emergency_Center,主迴路                 ,Admin,4259.81
2017/03,South,Emergency_Center,主迴路                 ,Admin,5548.13
2017/04,South,Emergency_Center,主迴路                 ,Admin,6049.56
2017/05,South,Emergency_Center,主迴路                 ,Admin,6960.69
2017/06,South,Emergency_Center,主迴路                 ,Admin,885196
2017/07,South,Emergency_Center,主迴路                 ,Admin,9856.5
2017/08,South,Emergency_Center,主迴路                 ,Admin,9903
2016/09,South,Hao_Ran,主迴路                 ,Admin,241198
2016/10,South,Hao_Ran,主迴路                 ,Admin,268246
2016/11,South,Hao_Ran,主迴路                 ,Admin,241164
2016/12,South,Hao_Ran,主迴路                 ,Admin,211010
2017/01,South,Hao_Ran,主迴路                 ,Admin,23432220
2017/02,South,Hao_Ran,主迴路                 ,Admin,151284
2017/03,South,Hao_Ran,主迴路                 ,Admin,196592
2017/04,South,Hao_Ran,主迴路                 ,Admin,224616
2017/05,South,Hao_Ran,主迴路                 ,Admin,256752
2017/06,South,Hao_Ran,主迴路                 ,Admin,287716
2017/07,South,Hao_Ran,主迴路                 ,Admin,271546
2017/08,South,Hao_Ran,主迴路                 ,Admin,278340
2016/09,South,Hao_Ran,咖啡廳                 ,rent,1868.05
2016/10,South,Hao_Ran,咖啡廳                 ,rent,96904.03
2016/11,South,Hao_Ran,咖啡廳                 ,rent,1910.5
2016/12,South,Hao_Ran,咖啡廳                 ,rent,1867.29
2017/01,South,Hao_Ran,咖啡廳                 ,rent,103190.2
2017/02,South,Hao_Ran,咖啡廳                 ,rent,103264.4
2017/03,South,Hao_Ran,咖啡廳                 ,rent,1757.2
2017/04,South,Hao_Ran,咖啡廳                 ,rent,1760.56
2017/05,South,Hao_Ran,咖啡廳                 ,rent,110517.6
2017/06,South,Hao_Ran,咖啡廳                 ,rent,2102.09
2017/07,South,Hao_Ran,咖啡廳                 ,rent,2206.34
2017/08,South,Hao_Ran,咖啡廳                 ,rent,2191.8
2016/09,South,Info(South),主迴路                 ,Admin,180106
2016/10,South,Info(South),主迴路                 ,Admin,186686.5
2016/11,South,Info(South),主迴路                 ,Admin,165044
2016/12,South,Info(South),主迴路                 ,Admin,156010.5
2017/01,South,Info(South),主迴路                 ,Admin,5156064
2017/02,South,Info(South),主迴路                 ,Admin,132981.5
2017/03,South,Info(South),主迴路                 ,Admin,151334.5
2017/04,South,Info(South),主迴路                 ,Admin,156185.5
2017/05,South,Info(South),主迴路                 ,Admin,140924.5
2017/06,South,Info(South),主迴路                 ,Admin,157065.5
2017/07,South,Info(South),主迴路                 ,Admin,182857.5
2017/08,South,Info(South),主迴路                 ,Admin,187850
2016/09,South,MotocycleA,主迴路                 ,Admin,175697100
2016/10,South,MotocycleA,主迴路                 ,Admin,5652.06
2016/11,South,MotocycleA,主迴路                 ,Admin,229260.5
2016/12,South,MotocycleA,主迴路                 ,Admin,6255.39
2017/01,South,MotocycleA,主迴路                 ,Admin,6329.39
2017/02,South,MotocycleA,主迴路                 ,Admin,5782.41
2017/03,South,MotocycleA,主迴路                 ,Admin,6815.33
2017/04,South,MotocycleA,主迴路                 ,Admin,6732.05
2017/05,South,MotocycleA,主迴路                 ,Admin,270262.6
2017/06,South,MotocycleA,主迴路                 ,Admin,271056.3
2017/07,South,MotocycleA,主迴路                 ,Admin,277222.5
2017/08,South,MotocycleA,主迴路                 ,Admin,6390.44
2016/09,South,MotocycleH,主迴路                 ,Admin,0
2016/10,South,MotocycleH,主迴路                 ,Admin,0
2016/11,South,MotocycleH,主迴路                 ,Admin,0
2016/12,South,MotocycleH,主迴路                 ,Admin,0
2017/01,South,MotocycleH,主迴路                 ,Admin,0
2017/02,South,MotocycleH,主迴路                 ,Admin,0
2017/03,South,MotocycleH,主迴路                 ,Admin,0
2017/04,South,MotocycleH,主迴路                 ,Admin,0
2017/05,South,MotocycleH,主迴路                 ,Admin,0
2017/06,South,MotocycleH,主迴路                 ,Admin,0
2017/07,South,MotocycleH,主迴路                 ,Admin,0
2017/08,South,MotocycleH,主迴路                 ,Admin,0
2016/09,South,Engineer3,主迴路                 ,教學                  ,179970
2016/10,South,Engineer3,主迴路                 ,教學                  ,194072
2016/11,South,Engineer3,主迴路                 ,教學                  ,165312
2016/12,South,Engineer3,主迴路                 ,教學                  ,148302
2017/01,South,Engineer3,主迴路                 ,教學                  ,18094280
2017/02,South,Engineer3,主迴路                 ,教學                  ,113186
2017/03,South,Engineer3,主迴路                 ,教學                  ,143674
2017/04,South,Engineer3,主迴路                 ,教學                  ,157442
2017/05,South,Engineer3,主迴路                 ,教學                  ,18773530
2017/06,South,Engineer3,主迴路                 ,教學                  ,18825640
2017/07,South,Engineer3,主迴路                 ,教學                  ,230660
2017/08,South,Engineer3,主迴路                 ,教學                  ,226858
2016/09,South,Engineer4,主迴路                 ,教學                  ,342484
2016/10,South,Engineer4,主迴路                 ,教學                  ,366530
2016/11,South,Engineer4,主迴路                 ,教學                  ,303070
2016/12,South,Engineer4,主迴路                 ,教學                  ,277907
2017/01,South,Engineer4,主迴路                 ,教學                  ,13813330
2017/02,South,Engineer4,主迴路                 ,教學                  ,203618
2017/03,South,Engineer4,主迴路                 ,教學                  ,255078
2017/04,South,Engineer4,主迴路                 ,教學                  ,278830
2017/05,South,Engineer4,主迴路                 ,教學                  ,14985320
2017/06,South,Engineer4,主迴路                 ,教學                  ,15064240
2017/07,South,Engineer4,主迴路                 ,教學                  ,371254
2017/08,South,Engineer4,主迴路                 ,教學                  ,355897
2016/09,South,Engineer5,主迴路                 ,教學                  ,297486.5
2016/10,South,Engineer5,主迴路                 ,教學                  ,321551.3
2016/11,South,Engineer5,主迴路                 ,教學                  ,4168347
2016/12,South,Engineer5,主迴路                 ,教學                  ,210760
2017/01,South,Engineer5,主迴路                 ,教學                  ,4609158
2017/02,South,Engineer5,主迴路                 ,教學                  ,135814
2017/03,South,Engineer5,主迴路                 ,教學                  ,4785482
2017/04,South,Engineer5,主迴路                 ,教學                  ,222705
2017/05,South,Engineer5,主迴路                 ,教學                  ,295453.5
2017/06,South,Engineer5,主迴路                 ,教學                  ,325365
2017/07,South,Engineer5,主迴路                 ,教學                  ,347921
2017/08,South,Engineer5,主迴路                 ,教學                  ,356902
2016/09,South,Engineer6,主迴路                 ,教學                  ,342914.2
2016/10,South,Engineer6,主迴路                 ,教學                  ,217848
2016/11,South,Engineer6,主迴路                 ,教學                  ,797101.4
2016/12,South,Engineer6,主迴路                 ,教學                  ,160789.1
2017/01,South,Engineer6,主迴路                 ,教學                  ,2091565
2017/02,South,Engineer6,主迴路                 ,教學                  ,119864.5
2017/03,South,Engineer6,主迴路                 ,教學                  ,151256.8
2017/04,South,Engineer6,主迴路                 ,教學                  ,169622.8
2017/05,South,Engineer6,主迴路                 ,教學                  ,1867868
2017/06,South,Engineer6,主迴路                 ,教學                  ,222389
2017/07,South,Engineer6,主迴路                 ,教學                  ,241524.4
2017/08,South,Engineer6,主迴路                 ,教學                  ,246447.5
2016/09,South,Management2,主迴路                 ,教學                  ,5775086
2016/10,South,Management2,主迴路                 ,教學                  ,66001
2016/11,South,Management2,主迴路                 ,教學                  ,50769.5
2016/12,South,Management2,主迴路                 ,教學                  ,43909.5
2017/01,South,Management2,主迴路                 ,教學                  ,6002545
2017/02,South,Management2,主迴路                 ,教學                  ,30163
2017/03,South,Management2,主迴路                 ,教學                  ,42109.5
2017/04,South,Management2,主迴路                 ,教學                  ,46436.5
2017/05,South,Management2,主迴路                 ,教學                  ,59363.5
2017/06,South,Management2,主迴路                 ,教學                  ,70949
2017/07,South,Management2,主迴路                 ,教學                  ,70842.5
2017/08,South,Management2,主迴路                 ,教學                  ,70191
2016/09,South,AssemblyBD1,主迴路                 ,教學                  ,58554
2016/10,South,AssemblyBD1,主迴路                 ,教學                  ,68374
2016/11,South,AssemblyBD1,主迴路                 ,教學                  ,7742991
2016/12,South,AssemblyBD1,主迴路                 ,教學                  ,51528
2017/01,South,AssemblyBD1,主迴路                 ,教學                  ,7853744
2017/02,South,AssemblyBD1,主迴路                 ,教學                  ,37963
2017/03,South,AssemblyBD1,主迴路                 ,教學                  ,7906112
2017/04,South,AssemblyBD1,主迴路                 ,教學                  ,49957
2017/05,South,AssemblyBD1,主迴路                 ,教學                  ,60444
2017/06,South,AssemblyBD1,主迴路                 ,教學                  ,61061
2017/07,South,AssemblyBD1,主迴路                 ,教學                  ,59403
2017/08,South,AssemblyBD1,主迴路                 ,教學                  ,56837
2016/09,South,AssemblyBD1,空大MP動力              ,rent,7738.08
2016/10,South,AssemblyBD1,空大MP動力              ,rent,57552.72
2016/11,South,AssemblyBD1,空大MP動力              ,rent,5290.13
2016/12,South,AssemblyBD1,空大MP動力              ,rent,3793.79
2017/01,South,AssemblyBD1,空大MP動力              ,rent,2080.7
2017/02,South,AssemblyBD1,空大MP動力              ,rent,0
2017/03,South,AssemblyBD1,空大MP動力              ,rent,67142.72
2017/04,South,AssemblyBD1,空大MP動力              ,rent,3914.17
2017/05,South,AssemblyBD1,空大MP動力              ,rent,16361.82
2017/06,South,AssemblyBD1,空大MP動力              ,rent,7690.49
2017/07,South,AssemblyBD1,空大MP動力              ,rent,9462.45
2017/08,South,AssemblyBD1,空大MP動力              ,rent,7257.92
2016/09,South,AssemblyBD1,空大ML燈力              ,rent,114470900
2016/10,South,AssemblyBD1,空大ML燈力              ,rent,245510500
2016/11,South,AssemblyBD1,空大ML燈力              ,rent,554539400
2016/12,South,AssemblyBD1,空大ML燈力              ,rent,1818819000
2017/01,South,AssemblyBD1,空大ML燈力              ,rent,1398963000
2017/02,South,AssemblyBD1,空大ML燈力              ,rent,0
2017/03,South,AssemblyBD1,空大ML燈力              ,rent,400584.1
2017/04,South,AssemblyBD1,空大ML燈力              ,rent,4755.18
2017/05,South,AssemblyBD1,空大ML燈力              ,rent,15068.12
2017/06,South,AssemblyBD1,空大ML燈力              ,rent,4811.61
2017/07,South,AssemblyBD1,空大ML燈力              ,rent,4496.52
2017/08,South,AssemblyBD1,空大ML燈力              ,rent,4048.99
2016/09,South,AssemblyBD1,棒球場照明               ,Admin,276.86
2016/10,South,AssemblyBD1,棒球場照明               ,Admin,59751.15
2016/11,South,AssemblyBD1,棒球場照明               ,Admin,740.15
2016/12,South,AssemblyBD1,棒球場照明               ,Admin,1133.91
2017/01,South,AssemblyBD1,棒球場照明               ,Admin,22.41
2017/02,South,AssemblyBD1,棒球場照明               ,Admin,0
2017/03,South,AssemblyBD1,棒球場照明               ,Admin,72899.93
2017/04,South,AssemblyBD1,棒球場照明               ,Admin,623.77
2017/05,South,AssemblyBD1,棒球場照明               ,Admin,2426.68
2017/06,South,AssemblyBD1,棒球場照明               ,Admin,33.77
2017/07,South,AssemblyBD1,棒球場照明               ,Admin,34.94
2017/08,South,AssemblyBD1,棒球場照明               ,Admin,88.37
2016/09,South,AssemblyBD1,餐亭                  ,rent,5079.56
2016/10,South,AssemblyBD1,餐亭                  ,rent,322380.8
2016/11,South,AssemblyBD1,餐亭                  ,rent,5625.38
2016/12,South,AssemblyBD1,餐亭                  ,rent,4897.09
2017/01,South,AssemblyBD1,餐亭                  ,rent,337649.9
2017/02,South,AssemblyBD1,餐亭                  ,rent,3193.47
2017/03,South,AssemblyBD1,餐亭                  ,rent,4838.06
2017/04,South,AssemblyBD1,餐亭                  ,rent,4570.44
2017/05,South,AssemblyBD1,餐亭                  ,rent,358156.1
2017/06,South,AssemblyBD1,餐亭                  ,rent,5160.56
2017/07,South,AssemblyBD1,餐亭                  ,rent,4292.22
2017/08,South,AssemblyBD1,餐亭                  ,rent,4195.84
2016/09,South,AssemblyBD1,管科ML燈力              ,教學                  ,1018.64
2016/10,South,AssemblyBD1,管科ML燈力              ,教學                  ,90496.92
2016/11,South,AssemblyBD1,管科ML燈力              ,教學                  ,1214.09
2016/12,South,AssemblyBD1,管科ML燈力              ,教學                  ,1040.53
2017/01,South,AssemblyBD1,管科ML燈力              ,教學                  ,20935790
2017/02,South,AssemblyBD1,管科ML燈力              ,教學                  ,1082.65
2017/03,South,AssemblyBD1,管科ML燈力              ,教學                  ,1437.92
2017/04,South,AssemblyBD1,管科ML燈力              ,教學                  ,1262.28
2017/05,South,AssemblyBD1,管科ML燈力              ,教學                  ,99831.2
2017/06,South,AssemblyBD1,管科ML燈力              ,教學                  ,1289.32
2017/07,South,AssemblyBD1,管科ML燈力              ,教學                  ,1159.81
2017/08,South,AssemblyBD1,管科ML燈力              ,教學                  ,947.27
2016/09,South,AssemblyBD1,管科插座                ,教學                  ,794.59
2016/10,South,AssemblyBD1,管科插座                ,教學                  ,64002.32
2016/11,South,AssemblyBD1,管科插座                ,教學                  ,823.83
